ナンバー,施設名,所在地,緯度,経度
190,特別養護老人ホーム愛松園診療所,五泉市番坂新174-2,37.683102,139.193954
191,石曾根医院,五泉市石曽根7990,37.696278,139.184601
192,梁取医院,五泉市村松乙655-1,37.690784,139.167587
193,金子医院,五泉市村松甲1772,37.684532,139.172745
194,五泉市村松保健センター,五泉市村松乙116-1,37.690784,139.167587
195,特別養護老人ホーム山王苑,五泉市村松203-1,37.687382,139.178986
196,社会福祉法人中東福祉会特別養護老人ホームうずらはし医務室,五泉市橋田丙497-2,37.728642,139.136307
197,大日方医院,五泉市寺沢3丁目2-1,37.732117,139.182709
198,五泉市東蒲原郡医師会夜間診療所,五泉市本町1丁目5-18,37.736721,139.177063
199,たけだ内科クリニック,五泉市村松1288-1,37.687382,139.178986
200,わたべこどもクリニック,五泉市太田975-1,37.746193,139.186768
201,特別養護老人ホームまおろしの郷医務室,五泉市馬下1429,37.728031,139.270294
202,社会福祉法人厚志会結の里医務室,五泉市五十嵐新田855-1,37.734680,139.196167
203,中谷医院,五泉市太田2-6-39,37.742493,139.189636
204,特別養護老人ホーム帛の郷,五泉市本町6丁目7-7,37.746033,139.176743
205,ひろせ内科クリ二ック,阿賀町東本町2丁目9-6,37.602516,139.522614
206,特別養護老人ホームみどりの園,阿賀町村松甲5551番地1,37.675606,139.458771
207,特別養護老人ホーム東蒲の里,阿賀町津川207-1,37.678059,139.463364
208,阿賀町津川総合福祉保健センター「やまぶきの里」,阿賀町津川664,37.675423,139.461716
209,渡辺医院,阿賀町津川500-1,37.676235,139.450073
210,阿賀町津川診療所,阿賀町津川2100番地9,37.679367,139.446991
211,阿賀町養護老人ホームきりん荘,阿賀町鹿瀬6259,37.706566,139.466156
212,阿賀町鹿瀬診療所,阿賀町向鹿瀬1154,37.700062,139.481934
213,町営診療所みかわ,阿賀町あが野南4324番地,37.710320,139.366730
214,特別養護老人ホーム東蒲の里みかわ園,五泉市あが野南4319-4,37.744495,139.182587
215,阿賀町上川診療所,五泉市両郷甲2150,37.744495,139.182587
216,五泉皮ふ科,三条市本町一丁目10番3-3号,37.627796,138.958160
217,五泉キッズクリニック・五泉耳鼻科音声嚥下クリニック,三条市東本町2丁目106番地3,37.614292,138.947983
218,阿部内科・消化器科医院,三条市塚野目4-20-30,37.638851,138.976532
219,あまの整形外科,三条市南四日町4-7-54,37.614681,138.952606
220,池田耳鼻科医院,三条市一ﾉ門1-13-15,37.629951,138.967316
221,石黒内科医院,三条市西裏館1-10-46,37.634441,138.953476
222,特別養護老人ホームいっぷく医務室,三条市庭月630番地4,37.536888,139.109604
223,いとうクリニック,三条市林町1丁目20-28,37.631611,138.964417
224,岩田眼科医院,三条市東裏館1丁目9-21番地,37.633690,138.956299
225,榎本外科医院,三条市西四日町1丁目3-11,37.624901,138.952896
226,榎本内科クリニック,三条市北新保1丁目1番28号,37.625767,138.957306
227,大渓外科医院,三条市一ﾉ門2丁目2-35,37.630043,138.968002
228,かおる心療内科,三条市新光町1-29,37.643070,138.962784
229,川瀬神経内科クリニック,三条市東本成寺20番8号,37.615917,138.948486
230,桑原小児科医院,三条市興野2-10-8,37.633057,138.971725
231,県央医師会応急診療所,三条市興野1丁目13-67,37.634274,138.967499
232,養護老人ホーム県央寮診療所,三条市吉田字薬王寺1237,37.589500,138.974258
233,さいとう小児科,三条市石上2丁目15番35号,37.644474,138.955078
234,坂内小児科医院,三条市南新保1-3,37.624329,138.958725
235,特別養護老人ホームさかえの里医務室,三条市福島新田丁1481番地1,37.588890,138.916107
236,さとう栄整形外科クリニック,三条市西本成寺1丁目35番10号,37.618382,138.939331
237,産科婦人科茅原クリニック,三条市東本成寺12-14,37.614975,138.949539
238,三条眼科,三条市南四日町4丁目3番10号,37.615334,138.955032
239,三条市総合福祉センター,三条市東本成寺2番1号,37.612591,138.953995
240,三条しただ郷クリニック,三条市荻堀1182番地1,37.571781,139.033508
241,三条りゅうクリニック,三条市興野1丁目14番32号,37.636211,138.968018
242,篠田耳鼻咽喉科医院,三条市東本成寺21番38号,37.615887,138.948257
243,田中内科クリニック,三条市須頃2丁目101-1,37.644917,138.940720
244,谷村脳神経外科クリニック,三条市興野1丁目13番14号,37.635540,138.966827
245,たむら皮フ科クリニック,三条市東本成寺21番34号,37.616013,138.947815
246,特別養護老人ホーム長和園,三条市大野畑6-86-7,37.627689,138.940414
247,塚野目診療所,三条市塚野目2丁目9番54号,37.637188,138.978378
248,津端内科医院,三条市南新保1-16,37.623943,138.958511
249,坪井内科医院,三条市本町3-6-14,37.629227,138.956467
250,地域密着型介護老人福祉施設つつじガーデン三条医務室,三条市諏訪3丁目317-1,37.612938,138.982224
251,といし整形外科クリニック,三条市荒町2-1-46,37.638344,138.953812
252,どうや胃腸科,三条市興野1丁目6番46号,37.633038,138.968826
253,特別養護老人ホーム裏館倶楽部医務室,三条市西裏館3丁目6番54号,37.643970,138.960342
254,特別養護老人ホームうらだての里医務室,三条市東裏館3丁目6番58号,37.642567,138.962479
255,特別養護老人ホームつかのめの里医務室,三条市塚野目2380-2,37.659103,138.975662
256,富永草野クリニック,三条市興野2丁目11-28,37.633205,138.971634
257,内科・消化器科わたなべ医院,三条市西本成寺1-38-45,37.622883,138.942108
258,内科・呼吸器内科山口医院,三条市東本成寺12番1号,37.615200,138.950562
259,中川内科医院,三条市東三条2丁目2-18,37.631321,138.974731
260,なかじま医院,三条市新堀1305-1,37.588078,138.921432
261,新潟県三条保健所,三条市興野1-13-45,37.634800,138.969238
