ナンバー,施設名,所在地,緯度,経度
89,有松歯科医院,胎内市大川町14-49,38.049568,139.40657
90,黒川歯科診療所,胎内市黒川1410番地,38.073917,139.440308
91,小林歯科医院,胎内市東本町22-27,38.057743,139.411224
92,斎藤歯科医院,胎内市住吉町10-12,38.06245,139.410217
93,佐藤歯科クリニック,胎内市本郷546-5,38.060455,139.398132
94,新栄町歯科医院,胎内市新栄町2-54,38.049133,139.402359
95,鈴木歯科医院,胎内市本町1-19,38.052757,139.402878
96,丹呉歯科医院,胎内市本町2-26,38.053177,139.403763
97,NOZAWA DentalClinic 野沢歯科医院,胎内市東本町1-4,38.053825,139.403885
98,舟山歯科医院,胎内市乙719-5,38.116982,139.406067
99,村山歯科医院,胎内市東本町21-13,38.057983,139.41304
100,さとう歯科医院,聖籠町藤寄1361-22,37.956005,139.239395
101,鈴木歯科医院,聖籠町諏訪山1646-8,37.973797,139.274612
102,にしかた歯科医院,聖籠町大字大夫2180-6,37.965279,139.282623
103,みどり歯科,聖籠町諏訪山1118-1,37.974323,139.275314
104,胎内ついじ歯科医院,胎内市築地2025-1,38.059566,139.356979
105,笹川歯科医院,五泉市泉町1-4-12,37.741669,139.171692
106,浅井歯科医院,五泉市駅前2-6-12,37.735229,139.181595
107,長谷川歯科医院,五泉市伊勢の川4-13,37.747749,139.174667
108,亀嶋歯科医院,五泉市本町2-3-30,37.740303,139.17598
109,河辺歯科医院,五泉市東本町2-8-44,37.740658,139.182007
110,武田歯科クリニック,五泉市木越1998-1,37.717278,139.183197
111,はらだ歯科医院,五泉市本町1-9-7,37.736095,139.177261
112,川上歯科,五泉市論瀬5975-14,37.746986,139.204636
113,小林歯科医院,五泉市東本町2-5-4,37.741093,139.180939
114,あおば歯科,五泉市赤海字下島841-1,37.741669,139.193085
115,わたなべ歯科クリニック,五泉市南本町2丁目3-12,37.73127,139.176865
116,佐藤歯科医院,五泉市村松乙633,37.690784,139.167587
117,鈴木歯科医院,五泉市村松甲2583-1,37.684532,139.172745
118,いいはま歯科クリニック,五泉市村松甲2190-1,37.684532,139.172745
119,大歯科医院,五泉市三本木早出3033,37.749847,139.183365
120,加藤歯科医院,五泉市旭町8-33,37.747082,139.180923
121,あこみ歯科クリニック,五泉市赤海2丁目156-4,37.73587,139.192398
122,鈴木歯科医院,阿賀町津川3540,37.68256,139.455505
123,倉田歯科医院,阿賀町津川3548,37.68256,139.455505
124,岡村歯科医院,阿賀町津川3357-1,37.682812,139.452148
125,医療法人厚徳会まつむらデンタルクリニック津川診療所,阿賀町津川674,37.675423,139.461716
126,小野里歯科医院,阿賀町津川576-1,37.676025,139.458664
127,阿賀町鹿瀬歯科診療所,阿賀町向鹿瀬1154,37.700062,139.481934
128,三川インターデンタルクリニック,阿賀町あが野南4324-14,37.71032,139.36673
129,上川歯科診療所,阿賀町両郷2150番地,37.636635,139.467056
130,金丸歯科医院,五泉市駅前2-7-52,37.733837,139.183563
131,あいば歯科医院,三条市桜木町26-5,37.61887,138.946671
132,あおぞら歯科クリニック,三条市新保232-1,37.613045,138.962067
133,青葉デンタルクリニック,三条市西本成寺1丁目24番25号,37.620041,138.941559
134,青栁歯科医院,三条市西四日町4-14-16,37.621269,138.951416
135,旭町歯科クリニック,三条市旭町2-2-26,37.635326,138.96138
136,市川歯科医院,三条市東裏館2-10-11,37.636021,138.958344
137,一ノ木戸大渓歯科医院,三条市一ﾉ門2-4-43,37.630939,138.967407
138,駅南歯科小林,三条市西大崎1-5-55,37.625793,138.985977
139,大滝歯科医院,三条市荻堀742-1,37.571781,139.033508
140,おかべ歯科医院,三条市月岡1-26-54,37.613483,138.971741
141,きずな歯科クリニック,三条市南四日町1丁目5番7-1号,37.623077,138.956207
142,北入蔵歯科ワタナベ,三条市北入蔵1丁目3-16,37.631462,138.980972
143,桐生歯科医院,三条市三竹2丁目4番31-3号,37.625748,138.981613
144,くまがい歯科医院,三条市林町2-2-5,37.632824,138.965027
145,桑原歯科医院,三条市本町3丁目4-1,37.630489,138.955933
146,後藤歯科医院,三条市南新保4番18号,37.621174,138.959946
147,小林歯科クリニック,三条市荒町2丁目22番17号,37.640331,138.953217
148,小山歯科医院,三条市福島新田乙1372-16,37.599392,138.929245
149,こもれびの森歯科医院,三条市荒町2丁目25番70号,37.642483,138.955612
150,近藤歯科医院,三条市島田2丁目7-18,37.625988,138.945374
151,佐藤歯科医院,三条市旭町1-6-4,37.631359,138.960876
152,佐藤歯科診療所,三条市本町4-2-28,37.629726,138.953491
153,歯科榎本医院,三条市一ﾉ門2-8-15,37.62994,138.969818
154,しただ歯科,三条市大字荻堀字七ﾂ新田1275-2,37.571781,139.033508
155,じろう歯科診療所,三条市長野337,37.53149,139.121094
156,土田歯科矯正歯科医院,三条市島田2-7-1,37.626457,138.946609
157,ナオ歯科,三条市北入蔵1-1-1,37.631355,138.978745
158,新光歯科クリニック,三条市新光町14-1,37.641434,138.966934
159,日本歯科大学在宅ケア新潟クリニック,三条市須頃1丁目65番地,37.647243,138.936234
160,野島歯科医院,三条市元町18番3号,37.633087,138.955414
161,はなみ矯正歯科,三条市上須頃597,37.635864,138.936752
162,羽生歯科医院,三条市塚野目4丁目13-5,37.636982,138.974747
163,林町歯科医院,三条市林町2-14-3,37.636433,138.966751
164,東三条歯科,三条市東三条1-18-9,37.628338,138.97226
165,ファミリー歯科診療所,三条市西裏館2-4-21,37.636795,138.955856
166,ふるかわ歯科医院,三条市石上2-14-15,37.644432,138.954697
167,星野歯科医院,三条市西大崎1-20-22,37.621117,138.986465
168,本成寺歯科クリニック,三条市東本成寺488-1,37.614292,138.947983
169,森山歯科医院,三条市本町5-1-10,37.630253,138.952591
170,やちだ歯科医院,三条市上保内乙216番地2,37.639847,139.012955
171,横山歯科医院,三条市島田2-6-25,37.626534,138.943527
172,吉野矯正歯科,三条市東三条1-5-1 川商ﾋﾞﾙ4のA,37.631371,138.972397
173,嵐南歯科金子,三条市南四日町4丁目11-48,37.617733,138.952728
174,川崎歯科医院,三条市本町2丁目4-1,37.630108,138.956909
175,こころ歯科県央クリニック,三条市上須頃1597番地1ﾒﾃﾞｨｶﾙﾌﾟﾗｻﾞ21 3階2号室,37.636944,138.937607
176,田巻歯科医院,三条市元町2-29,37.631405,138.955353
177,愛育デンタルクリニック矯正歯科・小児歯科,三条市東裏館1丁目9番5号,37.633163,138.95575
178,あおやぎ歯科医院,加茂市大字下条甲503番地16,37.658276,139.027054
179,ささおか歯科医院,加茂市寿町20-18,37.658379,139.043335
180,上条渡辺歯科医院,加茂市上条4番36号,37.658123,139.062714
181,すぎもと歯科,加茂市五番町4-6,37.656879,139.06073
182,武内歯科医院,加茂市旭町10-18,37.659603,139.043884
183,永井こども歯科医院,加茂市新栄町2番2号,37.6646,139.041412
184,皆川歯科医院,加茂市穀町6-17,37.659809,139.053009
185,米山歯科医院,加茂市旭町13-25,37.660465,139.042404
186,ロイヤル歯科クリニック,加茂市駅前5番18号 2階,37.658951,139.051132
187,渡辺歯科医院,加茂市松坂町2-24,37.658161,139.052063
188,さくま歯科医院,加茂市幸町1-12-14,37.663155,139.044418
189,東町歯科医院,燕市吉田東町3257-4,37.695625,138.881454
190,いからし歯科医院,燕市東太田2971番地1,37.669083,138.914597
191,石田歯科医院,燕市吉田日之出町2-11,37.686165,138.879257
192,井手口歯科クリニック,燕市東太田7047番,37.669083,138.914597
193,いとう歯科医院,燕市横田519-3,37.626907,138.882324
194,江村歯科医院,燕市八王寺703,37.645,138.920319
195,奥山歯科医院,燕市杣木3167-1,37.677166,138.905563
196,亀倉歯科医院,燕市吉田堤町11-5,37.688229,138.8797
197,河田歯科醫院,燕市吉田本所字本地99-3,37.697727,138.87851
198,県央ランドマーク歯科,燕市南7丁目17番9-5号,37.657669,138.935593
199,小司歯科医院,燕市吉田東栄町51-17,37.680878,138.876892
200,齋藤歯科医院,燕市秋葉町4-6-27,37.663246,138.915649
201,佐藤歯科医院,燕市分水文京町2-1,37.634815,138.842438
